Village_ID,Village_Name,District,State,Latitude,Longitude,Population,Male_Population,Female_Population,Elderly_Population,Child_Population,Hospital_Name,Facility_Type,Doctors_Count,Nurses_Count,Beds_Available,Emergency_Service,Distance_to_Hospital_km,Average_Travel_Time_min,Road_Connectivity,Ambulance_Availability,Accessibility_Score,Healthcare_Risk_Level,Doctor_Shortage_Flag,Underserved_Area_Flag,Monthly_Patient_Count,road_speed_kmph,risk_norm,Emergency_Service_bin,Ambulance_Availability_bin,Doctor_Shortage_Flag_bin,Underserved_Area_Flag_bin,need_score,Latitude_orig,Longitude_orig
V00013,Village_1035,Prayagraj,Uttar Pradesh,25.250994305323893,81.84770062154567,14293,7012,7281,1499,3678,Prayagraj_Health_Center,District Hospital,36,64,84,No,12.2,32.37,Good,Yes,100,Low,No,No,4219,40.0,0.2,0,1,0,0,0.2778,18.514487,81.346842
V00014,Village_1931,Jodhpur,Rajasthan,26.31576463582022,72.72188192454769,18140,8765,9375,1142,5100,Jodhpur_Medical_Center,PHC,26,17,296,No,15.53,58.76,Poor,Yes,100,Low,No,No,2691,12.0,0.2,0,1,0,0,0.3432,23.916358,81.043631
V00015,Village_6147,Gaya,Bihar,24.37505036609145,84.41941044844799,9321,4573,4748,551,2700,Gaya_Health_Center,CHC,5,3,239,Yes,37.65,138.89,Good,Yes,44,High,No,No,2959,40.0,1.0,1,1,0,0,0.6011,22.552962,74.119305
V00016,Village_7054,Pune,Maharashtra,18.556343871541095,73.95397867474496,10838,5270,5568,1174,3247,Pune_Medical_Center,District Hospital,34,3,288,Yes,18.66,74.46,Good,No,100,Low,No,No,1373,40.0,0.2,1,0,0,0,0.219,26.007414,83.878667
V00017,Village_4450,Muzaffarpur,Bihar,26.13615843005345,85.41325864768476,12735,6216,6519,1202,2863,Muzaffarpur_Health_Center,CHC,4,13,221,No,49.93,106.46,Average,Yes,38,High,Yes,Yes,3603,25.0,1.0,0,1,1,1,0.6772,19.454238,79.069368
V00018,Village_2832,Jaipur,Rajasthan,26.7380021056734,75.52315816467765,3965,2053,1912,390,814,Jaipur_Care_Center,CHC,38,20,225,Yes,8.52,24.92,Good,No,100,Low,No,No,2997,40.0,0.2,1,0,0,0,0.102,24.1386,82.670935
V00019,Village_3532,Udaipur,Rajasthan,24.827200469288027,73.3236348529906,9257,4763,4494,1095,2942,Udaipur_Health_Center,PHC,12,44,215,Yes,48.33,221.94,Good,No,18,High,No,Yes,417,40.0,1.0,1,0,0,1,0.678,25.086371,73.72953
V00020,Village_4269,Indore,Madhya Pradesh,22.918939088562944,75.77316991848558,16583,8191,8392,1781,5441,Indore_Care_Center,PHC,13,53,173,No,17.44,38.51,Average,No,94,Low,No,No,2812,25.0,0.2,0,0,0,0,0.3347,24.115663,85.498579
V00021,Village_5279,Nashik,Maharashtra,20.271280943590696,73.82187804442331,7351,3699,3652,873,1370,Nashik_Medical_Center,CHC,23,42,228,No,36.77,129.96,Average,Yes,65,Medium,No,No,4359,25.0,0.5,0,1,0,0,0.3546,18.399479,78.97692
V00022,Village_6967,Jodhpur,Rajasthan,26.71060900722769,72.72232503585248,15632,7547,8085,1508,3691,Jodhpur_Health_Center,District Hospital,8,40,264,Yes,19.25,62.08,Average,No,86,Low,No,No,3205,25.0,0.2,1,0,0,0,0.3426,19.726561,82.638871
V00023,Village_7653,Kanpur,Uttar Pradesh,26.54492390007045,80.24256678206793,19454,9986,9468,1386,4196,Kanpur_Medical_Center,District Hospital,21,61,231,Yes,27.09,71.55,Average,Yes,87,Low,No,No,2845,25.0,0.2,1,1,0,0,0.4046,20.554078,82.621661
V00024,Village_6085,Pune,Maharashtra,19.02554867172234,73.76947650841495,8861,4539,4322,534,1664,Pune_Health_Center,District Hospital,5,60,217,No,53.28,198.58,Poor,No,12,High,No,Yes,145,12.0,1.0,0,0,0,1,0.6893,21.596876,74.361142
V00025,Village_4585,Aurangabad,Maharashtra,19.420100569162916,75.57561349930064,7263,3719,3544,716,1880,Aurangabad_Medical_Center,PHC,8,60,73,No,48.28,193.25,Poor,No,15,High,No,Yes,4235,12.0,1.0,0,0,0,1,0.6531,23.513871,83.508383
V00026,Village_3607,Gwalior,Madhya Pradesh,26.19524403181353,78.08738223137631,17054,8492,8562,1750,5504,Gwalior_Health_Center,District Hospital,32,32,145,No,26.95,111.59,Good,No,84,Low,No,No,1233,40.0,0.2,0,0,0,0,0.3728,20.877386,80.642436
V00027,Village_7275,Varanasi,Uttar Pradesh,25.451338402910242,82.99459093635625,24239,11782,12457,1574,6072,Varanasi_Health_Center,District Hospital,30,55,36,No,13.2,43.04,Poor,Yes,100,Low,No,No,2546,12.0,0.2,0,1,0,0,0.4471,22.292818,87.083867
V00028,Village_9818,Gwalior,Madhya Pradesh,26.2324905417603,78.27537429200069,19395,9930,9465,2188,5100,Gwalior_Health_Center,CHC,32,5,204,No,20.83,84.1,Average,Yes,100,Low,No,No,4475,25.0,0.2,0,1,0,0,0.3646,26.275875,87.691552
V00029,Village_1444,Aurangabad,Maharashtra,19.925470650484385,75.54698986137849,4250,2149,2101,252,1098,Aurangabad_Care_Center,CHC,25,43,113,No,27.83,83.84,Average,No,81,Low,No,No,258,25.0,0.2,0,0,0,0,0.1638,20.270444,73.3105
V00030,Village_6733,Jaipur,Rajasthan,26.690855096842654,76.07475067141962,8847,4476,4371,926,2572,Jaipur_Care_Center,PHC,13,4,83,No,15.07,51.55,Good,Yes,89,Low,No,No,1474,40.0,0.2,0,1,0,0,0.2181,24.295185,84.27037
V00031,Village_3683,Jaipur,Rajasthan,27.097868160823197,75.70374654141507,11692,5662,6030,605,2724,Jaipur_Medical_Center,CHC,26,27,43,No,35.93,161.39,Good,Yes,51,Medium,No,No,1091,40.0,0.5,0,1,0,0,0.4705,25.652639,81.606586
V00032,Village_6688,Jaipur,Rajasthan,27.32501060383178,76.13173607765563,18956,9423,9533,1439,5042,Jaipur_Health_Center,PHC,27,64,59,No,26.58,82.04,Average,Yes,82,Low,No,No,2312,25.0,0.2,0,1,0,0,0.4111,19.585233,80.347948
V00033,Village_8616,Udaipur,Rajasthan,24.457364173834623,73.9974040217885,15772,8091,7681,1442,3703,Udaipur_Care_Center,PHC,18,59,129,No,45.28,167.97,Poor,No,37,High,No,Yes,1589,12.0,1.0,0,0,0,1,0.7319,18.2583,85.615245
V00034,Village_6813,Indore,Madhya Pradesh,22.618105821944773,75.73626592214175,9965,4918,5047,1112,2981,Indore_Health_Center,District Hospital,1,68,102,No,6.05,25.17,Average,Yes,93,Low,Yes,No,241,25.0,0.2,0,1,1,0,0.2251,23.813126,79.853141
V00035,Village_4630,Nagpur,Maharashtra,21.000426547926796,79.59642222230464,14751,7488,7263,1053,4113,Nagpur_Health_Center,District Hospital,34,46,222,No,59.8,218.34,Average,No,30,High,No,Yes,1677,25.0,1.0,0,0,0,1,0.7356,20.759607,75.688609
V00036,Village_9779,Patna,Bihar,25.365769513274422,85.11826065922973,24115,11753,12362,1571,6325,Patna_Medical_Center,District Hospital,34,38,56,No,50.13,144.81,Average,Yes,50,Medium,No,No,2347,25.0,0.5,0,1,0,0,0.685,18.127335,80.546161
V00037,Village_5786,Nashik,Maharashtra,20.07998941132286,73.53897568849467,24352,12608,11744,2304,7499,Nashik_Care_Center,PHC,37,38,245,No,29.24,88.37,Good,No,97,Low,No,No,4128,40.0,0.2,0,0,0,0,0.458,19.026784,73.045495
V00038,Village_3485,Nashik,Maharashtra,20.00050932621184,73.7127358005538,6388,3273,3115,743,1242,Nashik_Care_Center,PHC,36,55,120,No,46.77,146.91,Average,No,58,Medium,No,No,912,25.0,0.5,0,0,0,0,0.3592,20.748422,81.936437
V00039,Village_5335,Varanasi,Uttar Pradesh,25.377265420700148,82.98315724768084,23140,11182,11958,1545,6336,Varanasi_Care_Center,PHC,27,59,245,No,18.18,48.98,Poor,No,100,Low,No,No,2267,12.0,0.2,0,0,0,0,0.4284,18.640618,75.734781
V00040,Village_7965,Jodhpur,Rajasthan,26.87220339562352,73.49291512892867,5260,2639,2621,501,1759,Jodhpur_Care_Center,PHC,4,23,162,Yes,36.11,161.51,Average,No,35,High,Yes,Yes,3397,25.0,1.0,1,0,1,1,0.559,22.218282,76.865459
V00041,Village_8172,Bhagalpur,Bihar,25.141474201571015,87.1482273475262,4135,2083,2052,464,1260,Bhagalpur_Medical_Center,CHC,2,13,122,No,57.75,260.33,Poor,Yes,10,High,Yes,Yes,1535,12.0,1.0,0,1,1,1,0.6149,23.186223,84.209744
V00042,Village_5557,Gwalior,Madhya Pradesh,26.19868122841666,77.90427115546188,7447,3871,3576,599,2371,Gwalior_Care_Center,CHC,23,54,175,No,19.94,46.14,Good,No,100,Low,No,No,3380,40.0,0.2,0,0,0,0,0.1612,24.243063,76.611485
V00043,Village_8451,Jaipur,Rajasthan,26.97794774801756,75.36178194214436,4385,2159,2226,318,1512,Jaipur_Health_Center,District Hospital,1,61,216,No,4.2,14.93,Poor,No,100,Low,Yes,No,4599,12.0,0.2,0,0,1,0,0.1091,24.839915,75.256932
V00044,Village_8178,Kanpur,Uttar Pradesh,26.281983515455458,80.39080296919123,24380,12175,12205,1268,6999,Kanpur_Care_Center,District Hospital,11,41,287,No,1.81,5.84,Good,Yes,100,Low,No,No,1361,40.0,0.2,0,1,0,0,0.4495,26.523547,82.363355
V00045,Village_9337,Jabalpur,Madhya Pradesh,23.39673660687239,79.76433368314348,24614,12083,12531,2668,8532,Jabalpur_Care_Center,CHC,36,20,201,Yes,12.25,46.53,Poor,Yes,100,Low,No,No,3499,12.0,0.2,1,1,0,0,0.4534,20.486227,84.640099
V00046,Village_1042,Muzaffarpur,Bihar,26.006962081075056,85.54510984126725,10768,5481,5287,1169,2999,Muzaffarpur_Medical_Center,CHC,10,59,280,No,29.58,88.66,Poor,No,72,Medium,No,No,2056,12.0,0.5,0,0,0,0,0.3918,26.39567,85.913627
V00047,Village_4826,Udaipur,Rajasthan,24.47576693977284,73.65468772881358,14960,7206,7754,1527,4486,Udaipur_Health_Center,CHC,10,65,23,No,8.45,41.37,Average,Yes,92,Low,No,No,225,25.0,0.2,0,1,0,0,0.3131,18.897405,86.567067
V00048,Village_3529,Prayagraj,Uttar Pradesh,25.51529386987017,82.2001985244846,3951,1970,1981,465,938,Prayagraj_Medical_Center,CHC,6,44,278,Yes,23.42,69.09,Poor,No,79,Low,No,No,2454,12.0,0.2,1,0,0,0,0.1647,23.557135,75.756324
V00049,Village_8110,Lucknow,Uttar Pradesh,27.058218112511835,80.7321854577031,4725,2411,2314,469,931,Lucknow_Care_Center,District Hospital,20,5,28,No,20.14,43.67,Average,No,90,Low,No,No,4736,25.0,0.2,0,0,0,0,0.1449,19.310128,80.498661
V00050,Village_3868,Varanasi,Uttar Pradesh,25.329588470317674,82.73535710258284,4087,2061,2026,313,1210,Varanasi_Health_Center,District Hospital,10,31,241,No,38.64,130.55,Poor,Yes,50,Medium,No,No,1394,12.0,0.5,0,1,0,0,0.344,26.110885,82.841774
V00051,Village_6661,Aurangabad,Maharashtra,19.85631969034951,75.02960981294257,20753,10209,10544,2435,6170,Aurangabad_Health_Center,CHC,13,51,252,No,7.29,22.92,Average,No,100,Low,No,No,3342,25.0,0.2,0,0,0,0,0.3877,18.197456,85.280601
V00052,Village_1803,Patna,Bihar,25.391621885118244,85.64048836898992,21370,10894,10476,2314,7126,Patna_Care_Center,District Hospital,23,30,102,Yes,37.63,151.77,Poor,Yes,52,Medium,No,No,2630,12.0,0.5,1,1,0,0,0.6322,26.130633,82.34145
V00053,Village_6977,Bhopal,Madhya Pradesh,23.663387894246842,77.36748854326147,5806,2807,2999,410,1782,Bhopal_Care_Center,PHC,9,48,276,No,30.61,86.25,Good,No,70,Medium,No,No,2874,40.0,0.5,0,0,0,0,0.3133,26.706457,76.722263
V00054,Village_2233,Aurangabad,Maharashtra,19.915746106328623,75.28322539903502,6112,3118,2994,402,1802,Aurangabad_Medical_Center,CHC,36,48,51,No,47.65,97.29,Poor,Yes,66,Medium,No,No,2247,12.0,0.5,0,1,0,0,0.3305,21.317271,83.984186
V00055,Village_7086,Udaipur,Rajasthan,24.072640316275614,74.2437231998208,5050,2560,2490,419,1440,Udaipur_Medical_Center,CHC,40,30,37,No,38.49,130.59,Poor,No,70,Medium,No,No,404,12.0,0.5,0,0,0,0,0.3004,19.050083,72.725549
V00056,Village_2902,Bhagalpur,Bihar,25.264653394524622,87.36297376364831,4684,2292,2392,410,1152,Bhagalpur_Health_Center,District Hospital,35,55,84,No,53.24,211.08,Average,No,33,High,No,Yes,3732,25.0,1.0,0,0,0,1,0.5552,18.294447,77.928479
V00057,Village_6942,Indore,Madhya Pradesh,22.998613623047028,75.83730707236688,4755,2468,2287,360,1584,Indore_Medical_Center,CHC,4,52,146,Yes,12.2,28.87,Average,Yes,91,Low,Yes,No,274,25.0,0.2,1,1,1,0,0.1424,23.77534,81.554335
V00058,Village_4990,Nagpur,Maharashtra,21.40500728132707,78.71044550889867,5626,2877,2749,362,1806,Nagpur_Medical_Center,PHC,38,29,124,No,20.39,49.81,Poor,Yes,100,Low,No,No,1164,12.0,0.2,0,1,0,0,0.1302,25.725655,74.315008
V00059,Village_3858,Kota,Rajasthan,25.063748221641017,76.04764909901097,5102,2583,2519,264,931,Kota_Care_Center,District Hospital,21,4,94,Yes,16.66,39.66,Average,Yes,99,Low,No,No,4304,25.0,0.2,1,1,0,0,0.1243,22.286214,84.448273
V00060,Village_8405,Jaipur,Rajasthan,26.486521672660647,75.67754893244377,18009,8803,9206,1675,5468,Jaipur_Medical_Center,District Hospital,20,60,20,Yes,4.59,15.78,Average,No,100,Low,No,No,702,25.0,0.2,1,0,0,0,0.341,22.41242,86.555213
V00061,Village_3430,Nagpur,Maharashtra,21.639324978483415,79.44949883623785,3652,1771,1881,342,1020,Nagpur_Medical_Center,CHC,25,69,155,Yes,27.77,105.98,Good,Yes,78,Low,No,No,3489,40.0,0.2,1,1,0,0,0.1626,21.870629,86.209456
V00062,Village_7532,Bhagalpur,Bihar,25.400429792525173,87.016353897583,15131,7704,7427,1087,3527,Bhagalpur_Health_Center,CHC,10,62,39,No,6.38,14.39,Average,Yes,100,Low,No,No,4904,25.0,0.2,0,1,0,0,0.292,25.305924,80.901932
V00063,Village_3002,Kota,Rajasthan,24.632525549036384,76.05555277441337,14961,7392,7569,1444,4601,Kota_Medical_Center,PHC,19,41,185,Yes,7.11,25.04,Good,No,100,Low,No,No,4656,40.0,0.2,1,0,0,0,0.2891,25.625474,77.601824
V00064,Village_5564,Patna,Bihar,25.440505348985887,85.6812248078845,20312,9933,10379,1625,5593,Patna_Medical_Center,District Hospital,36,5,141,No,2.71,7.64,Average,No,100,Low,No,No,4739,25.0,0.2,0,0,0,0,0.3802,18.054952,85.917803
V00065,Village_3324,Bhopal,Madhya Pradesh,23.405047543663517,77.50032993718753,22247,11543,10704,1255,6010,Bhopal_Health_Center,CHC,30,45,85,Yes,22.83,95.08,Poor,Yes,87,Low,No,No,507,12.0,0.2,1,1,0,0,0.4522,19.400219,84.070974
V00066,Village_8259,Nagpur,Maharashtra,21.38083903522773,79.04403814122507,23190,11524,11666,2144,5807,Nagpur_Care_Center,District Hospital,8,46,225,No,7.54,30.42,Poor,No,100,Low,No,No,548,12.0,0.2,0,0,0,0,0.4292,18.408756,78.324214
V00067,Village_5938,Pune,Maharashtra,18.202296903218272,74.19962292424476,8421,4300,4121,871,1930,Pune_Care_Center,PHC,32,57,94,Yes,8.62,31.01,Good,No,100,Low,No,No,3673,40.0,0.2,1,0,0,0,0.1778,21.573641,83.872661
V00068,Village_2275,Aurangabad,Maharashtra,19.928140714270096,75.03120558995606,11758,5914,5844,1059,3534,Aurangabad_Health_Center,CHC,8,53,15,No,58.01,145.93,Poor,No,14,High,No,Yes,2093,12.0,1.0,0,0,0,1,0.7326,18.793169,85.51175
V00069,Village_9584,Gwalior,Madhya Pradesh,25.881932238774887,78.1868742663172,4077,2021,2056,292,969,Gwalior_Health_Center,PHC,5,67,63,Yes,32.31,83.42,Average,No,54,Medium,No,No,1716,25.0,0.5,1,0,0,0,0.3319,20.12642,74.343107
V00070,Village_2234,Varanasi,Uttar Pradesh,25.478001368013235,82.83254768683486,7304,3783,3521,686,1890,Varanasi_Medical_Center,District Hospital,29,43,166,No,9.91,21.85,Average,No,100,Low,No,No,707,25.0,0.2,0,0,0,0,0.1588,23.322778,77.631076
V00071,Village_8404,Bhagalpur,Bihar,25.301868000053357,86.79299174928188,2732,1317,1415,295,527,Bhagalpur_Care_Center,District Hospital,39,66,201,No,28.3,103.66,Poor,Yes,94,Low,No,No,1642,12.0,0.2,0,1,0,0,0.099,26.18145,81.146507
V00072,Village_9214,Bhagalpur,Bihar,25.153004157629855,87.09636491517352,6443,3339,3104,525,2048,Bhagalpur_Health_Center,District Hospital,6,66,93,No,3.31,13.65,Average,Yes,100,Low,No,No,3448,25.0,0.2,0,1,0,0,0.1441,21.355668,76.526297
V00073,Village_6482,Patna,Bihar,25.414915908789574,85.17285694852029,3659,1804,1855,325,899,Patna_Health_Center,District Hospital,39,21,175,No,5.81,23.19,Average,No,100,Low,No,No,794,25.0,0.2,0,0,0,0,0.0968,19.160565,83.341344
V00074,Village_6381,Bhagalpur,Bihar,25.266198098078345,87.31737522707525,5687,2882,2805,614,1737,Bhagalpur_Medical_Center,District Hospital,6,56,265,No,22.35,69.01,Good,Yes,79,Low,No,No,1955,40.0,0.2,0,1,0,0,0.1943,26.529014,79.780335
V00075,Village_2264,Varanasi,Uttar Pradesh,25.370591247890633,82.8109413378158,11192,5750,5442,638,3481,Varanasi_Medical_Center,District Hospital,3,45,72,No,36.24,89.25,Good,Yes,48,Medium,Yes,No,2045,40.0,0.5,0,1,1,0,0.471,18.393232,77.828791
V00076,Village_8355,Jabalpur,Madhya Pradesh,23.317185942525914,79.72047674641593,9167,4595,4572,656,2910,Jabalpur_Health_Center,PHC,24,58,241,Yes,46.4,201.11,Poor,No,39,High,No,Yes,1233,12.0,1.0,1,0,0,1,0.6135,25.352021,84.820148
V00077,Village_8873,Patna,Bihar,25.4275986199852,84.80103309126288,13663,6861,6802,781,4424,Patna_Care_Center,CHC,6,22,144,Yes,27.51,97.39,Average,Yes,61,Medium,No,No,318,25.0,0.5,1,1,0,0,0.474,25.350329,86.154076
V00078,Village_7495,Bhopal,Madhya Pradesh,23.86050785505841,77.22445442896634,17949,8884,9065,1382,3479,Bhopal_Care_Center,PHC,21,14,176,Yes,47.69,115.07,Average,No,53,Medium,No,No,143,25.0,0.5,1,0,0,0,0.571,24.82957,79.505762
V00079,Village_5193,Nashik,Maharashtra,20.36260113300647,74.0445143559848,8566,4397,4169,757,2600,Nashik_Medical_Center,CHC,8,38,126,Yes,18.77,40.23,Average,No,85,Low,No,No,4988,25.0,0.2,1,0,0,0,0.2253,18.997721,86.48235
V00080,Village_9443,Jaipur,Rajasthan,27.244799086618677,75.45212497599488,20343,9961,10382,1221,5146,Jaipur_Medical_Center,CHC,16,55,100,Yes,40.2,90.73,Average,Yes,58,Medium,No,No,3269,25.0,0.5,1,1,0,0,0.5967,21.514084,79.522161
V00081,Village_1266,Muzaffarpur,Bihar,26.18628982011468,85.4461003767688,13201,6752,6449,978,4021,Muzaffarpur_Medical_Center,PHC,38,44,73,No,3.62,13.17,Poor,Yes,100,Low,No,No,1593,12.0,0.2,0,1,0,0,0.2592,26.827373,79.656499
V00082,Village_8498,Lucknow,Uttar Pradesh,27.046515616924303,80.89083532811543,2711,1333,1378,143,579,Lucknow_Care_Center,CHC,20,67,208,Yes,59.36,215.42,Average,Yes,17,High,No,Yes,491,25.0,1.0,1,1,0,1,0.5696,20.574998,85.794216
V00083,Village_3039,Muzaffarpur,Bihar,26.070372555785873,85.09232322367652,13559,6745,6814,1057,3454,Muzaffarpur_Health_Center,CHC,12,65,259,No,22.67,99.56,Average,Yes,77,Low,No,No,1578,25.0,0.2,0,1,0,0,0.3343,18.710343,81.639253
V00084,Village_6262,Kota,Rajasthan,24.650678839170137,76.05016185935733,4861,2348,2513,467,1128,Kota_Medical_Center,District Hospital,28,23,232,No,21.74,46.24,Average,No,100,Low,No,No,569,25.0,0.2,0,0,0,0,0.1172,23.755224,84.663645
V00085,Village_6952,Aurangabad,Maharashtra,20.220086012436617,75.24657972642585,18312,9376,8936,1786,6262,Aurangabad_Care_Center,District Hospital,29,6,69,No,4.97,21.55,Average,No,100,Low,No,No,1356,25.0,0.2,0,0,0,0,0.3462,26.545204,72.518165
V00086,Village_7095,Jabalpur,Madhya Pradesh,22.995406494241504,79.741405444502,16047,8192,7855,1447,4332,Jabalpur_Health_Center,CHC,18,33,63,Yes,2.53,6.47,Poor,No,100,Low,No,No,3755,12.0,0.2,1,0,0,0,0.3076,20.35599,76.164636
V00087,Village_9047,Kanpur,Uttar Pradesh,26.67717047678353,80.09210636528861,8059,3907,4152,884,2069,Kanpur_Medical_Center,CHC,6,42,182,Yes,42.86,156.44,Average,No,33,High,No,Yes,1526,25.0,1.0,1,0,0,1,0.6126,24.406282,86.837191
V00088,Village_2988,Gaya,Bihar,24.608286062532322,85.16227194183375,8085,4136,3949,538,2134,Gaya_Health_Center,District Hospital,37,49,244,Yes,48.42,176.97,Poor,Yes,56,Medium,No,No,4021,12.0,0.5,1,1,0,0,0.3941,20.783616,87.993521
V00089,Village_7708,Udaipur,Rajasthan,24.504075197031867,74.01309551912523,20338,9822,10516,2401,5881,Udaipur_Health_Center,CHC,34,46,70,Yes,52.8,229.19,Poor,Yes,27,High,No,Yes,553,12.0,1.0,1,1,0,1,0.8397,21.893565,86.571396
V00090,Village_5982,Pune,Maharashtra,18.32354556342964,74.33322134309668,6895,3354,3541,795,1505,Pune_Medical_Center,CHC,6,34,105,Yes,38.47,140.51,Good,No,37,High,No,Yes,4856,40.0,1.0,1,0,0,1,0.5808,22.523158,74.698174
V00091,Village_6531,Varanasi,Uttar Pradesh,25.53311712024933,82.7989963605771,19968,9617,10351,2205,3869,Varanasi_Medical_Center,District Hospital,17,28,297,No,25.58,100.2,Average,No,81,Low,No,No,3426,25.0,0.2,0,0,0,0,0.4314,22.346503,84.87501
V00092,Village_2195,Bhagalpur,Bihar,25.186288439619172,86.76274325139875,24064,11608,12456,1943,6312,Bhagalpur_Care_Center,CHC,39,20,165,Yes,51.83,153.31,Average,No,57,Medium,No,No,969,25.0,0.5,1,0,0,0,0.6631,24.845985,80.239682
V00093,Village_8642,Gaya,Bihar,24.724076317906754,84.83309048232302,5514,2705,2809,371,1083,Gaya_Health_Center,CHC,40,55,132,Yes,57.8,272.06,Average,No,20,High,No,Yes,4316,25.0,1.0,1,0,0,1,0.6083,24.868092,79.972249
V00094,Village_6055,Gwalior,Madhya Pradesh,26.10444321174284,78.54617673052006,17797,8559,9238,2067,4732,Gwalior_Care_Center,PHC,38,47,29,No,3.98,13.87,Poor,No,100,Low,No,No,3630,12.0,0.2,0,0,0,0,0.3374,22.830217,85.554758
V00095,Village_6992,Kanpur,Uttar Pradesh,26.803158666572426,80.03460304433146,14713,7277,7436,1148,4074,Kanpur_Care_Center,CHC,36,38,42,Yes,23.79,79.72,Poor,No,94,Low,No,No,3157,12.0,0.2,1,0,0,0,0.3029,19.157971,73.546904
V00096,Village_3363,Muzaffarpur,Bihar,26.084279984539,85.29624489768833,8022,4043,3979,626,1498,Muzaffarpur_Care_Center,PHC,22,62,270,No,27.96,106.77,Poor,Yes,80,Low,No,No,3319,12.0,0.2,0,1,0,0,0.231,26.382319,77.096481
V00097,Village_6511,Kota,Rajasthan,24.86665453458211,76.16371201943659,18123,9299,8824,1581,5445,Kota_Health_Center,CHC,2,49,174,Yes,40.75,201.29,Poor,No,19,High,Yes,Yes,4838,12.0,1.0,1,0,1,1,0.826,23.372187,76.248487
