Village_ID,Village_Name,District,State,Latitude,Longitude,Population,Male_Population,Female_Population,Elderly_Population,Child_Population,Hospital_Name,Facility_Type,Doctors_Count,Nurses_Count,Beds_Available,Emergency_Service,Distance_to_Hospital_km,Average_Travel_Time_min,Road_Connectivity,Ambulance_Availability,Accessibility_Score,Healthcare_Risk_Level,Doctor_Shortage_Flag,Underserved_Area_Flag,Monthly_Patient_Count
V00011,Village_2588,Lucknow,Uttar Pradesh,19.71188,79.177817,23093,11482,11611,1839,5990,Lucknow_Medical_Center,PHC,7,9,211,Yes,43.96,193.5,Good,Yes,25,High,No,Yes,3556
V00012,Village_8579,Kanpur,Uttar Pradesh,22.332226,85.834406,9685,4987,4698,535,3073,Kanpur_Medical_Center,PHC,4,3,52,No,55.66,253.04,Good,No,10,High,Yes,Yes,580
V00013,Village_1035,Prayagraj,Uttar Pradesh,18.514487,81.346842,14293,7012,7281,1499,3678,Prayagraj_Health_Center,District Hospital,36,64,84,No,12.2,32.37,Good,Yes,100,Low,No,No,4219
V00014,Village_1931,Jodhpur,Rajasthan,23.916358,81.043631,18140,8765,9375,1142,5100,Jodhpur_Medical_Center,PHC,26,17,296,No,15.53,58.76,Poor,Yes,100,Low,No,No,2691
V00015,Village_6147,Gaya,Bihar,22.552962,74.119305,9321,4573,4748,551,2700,Gaya_Health_Center,CHC,5,3,239,Yes,37.65,138.89,Good,Yes,44,High,No,No,2959
V00016,Village_7054,Pune,Maharashtra,26.007414,83.878667,10838,5270,5568,1174,3247,Pune_Medical_Center,District Hospital,34,3,288,Yes,18.66,74.46,Good,No,100,Low,No,No,1373
V00017,Village_4450,Muzaffarpur,Bihar,19.454238,79.069368,12735,6216,6519,1202,2863,Muzaffarpur_Health_Center,CHC,4,13,221,No,49.93,106.46,Average,Yes,38,High,Yes,Yes,3603
V00018,Village_2832,Jaipur,Rajasthan,24.1386,82.670935,3965,2053,1912,390,814,Jaipur_Care_Center,CHC,38,20,225,Yes,8.52,24.92,Good,No,100,Low,No,No,2997
V00019,Village_3532,Udaipur,Rajasthan,25.086371,73.72953,9257,4763,4494,1095,2942,Udaipur_Health_Center,PHC,12,44,215,Yes,48.33,221.94,Good,No,18,High,No,Yes,417
V00020,Village_4269,Indore,Madhya Pradesh,24.115663,85.498579,16583,8191,8392,1781,5441,Indore_Care_Center,PHC,13,53,173,No,17.44,38.51,Average,No,94,Low,No,No,2812
V00021,Village_5279,Nashik,Maharashtra,18.399479,78.97692,7351,3699,3652,873,1370,Nashik_Medical_Center,CHC,23,42,228,No,36.77,129.96,Average,Yes,65,Medium,No,No,4359
V00022,Village_6967,Jodhpur,Rajasthan,19.726561,82.638871,15632,7547,8085,1508,3691,Jodhpur_Health_Center,District Hospital,8,40,264,Yes,19.25,62.08,Average,No,86,Low,No,No,3205
V00023,Village_7653,Kanpur,Uttar Pradesh,20.554078,82.621661,19454,9986,9468,1386,4196,Kanpur_Medical_Center,District Hospital,21,61,231,Yes,27.09,71.55,Average,Yes,87,Low,No,No,2845
V00024,Village_6085,Pune,Maharashtra,21.596876,74.361142,8861,4539,4322,534,1664,Pune_Health_Center,District Hospital,5,60,217,No,53.28,198.58,Poor,No,12,High,No,Yes,145
V00025,Village_4585,Aurangabad,Maharashtra,23.513871,83.508383,7263,3719,3544,716,1880,Aurangabad_Medical_Center,PHC,8,60,73,No,48.28,193.25,Poor,No,15,High,No,Yes,4235
V00026,Village_3607,Gwalior,Madhya Pradesh,20.877386,80.642436,17054,8492,8562,1750,5504,Gwalior_Health_Center,District Hospital,32,32,145,No,26.95,111.59,Good,No,84,Low,No,No,1233
V00027,Village_7275,Varanasi,Uttar Pradesh,22.292818,87.083867,24239,11782,12457,1574,6072,Varanasi_Health_Center,District Hospital,30,55,36,No,13.2,43.04,Poor,Yes,100,Low,No,No,2546
V00028,Village_9818,Gwalior,Madhya Pradesh,26.275875,87.691552,19395,9930,9465,2188,5100,Gwalior_Health_Center,CHC,32,5,204,No,20.83,84.1,Average,Yes,100,Low,No,No,4475
V00029,Village_1444,Aurangabad,Maharashtra,20.270444,73.3105,4250,2149,2101,252,1098,Aurangabad_Care_Center,CHC,25,43,113,No,27.83,83.84,Average,No,81,Low,No,No,258
V00030,Village_6733,Jaipur,Rajasthan,24.295185,84.27037,8847,4476,4371,926,2572,Jaipur_Care_Center,PHC,13,4,83,No,15.07,51.55,Good,Yes,89,Low,No,No,1474
V00031,Village_3683,Jaipur,Rajasthan,25.652639,81.606586,11692,5662,6030,605,2724,Jaipur_Medical_Center,CHC,26,27,43,No,35.93,161.39,Good,Yes,51,Medium,No,No,1091
V00032,Village_6688,Jaipur,Rajasthan,19.585233,80.347948,18956,9423,9533,1439,5042,Jaipur_Health_Center,PHC,27,64,59,No,26.58,82.04,Average,Yes,82,Low,No,No,2312
V00033,Village_8616,Udaipur,Rajasthan,18.2583,85.615245,15772,8091,7681,1442,3703,Udaipur_Care_Center,PHC,18,59,129,No,45.28,167.97,Poor,No,37,High,No,Yes,1589
V00034,Village_6813,Indore,Madhya Pradesh,23.813126,79.853141,9965,4918,5047,1112,2981,Indore_Health_Center,District Hospital,1,68,102,No,6.05,25.17,Average,Yes,93,Low,Yes,No,241
V00035,Village_4630,Nagpur,Maharashtra,20.759607,75.688609,14751,7488,7263,1053,4113,Nagpur_Health_Center,District Hospital,34,46,222,No,59.8,218.34,Average,No,30,High,No,Yes,1677
V00036,Village_9779,Patna,Bihar,18.127335,80.546161,24115,11753,12362,1571,6325,Patna_Medical_Center,District Hospital,34,38,56,No,50.13,144.81,Average,Yes,50,Medium,No,No,2347
V00037,Village_5786,Nashik,Maharashtra,19.026784,73.045495,24352,12608,11744,2304,7499,Nashik_Care_Center,PHC,37,38,245,No,29.24,88.37,Good,No,97,Low,No,No,4128
V00038,Village_3485,Nashik,Maharashtra,20.748422,81.936437,6388,3273,3115,743,1242,Nashik_Care_Center,PHC,36,55,120,No,46.77,146.91,Average,No,58,Medium,No,No,912
V00039,Village_5335,Varanasi,Uttar Pradesh,18.640618,75.734781,23140,11182,11958,1545,6336,Varanasi_Care_Center,PHC,27,59,245,No,18.18,48.98,Poor,No,100,Low,No,No,2267
V00040,Village_7965,Jodhpur,Rajasthan,22.218282,76.865459,5260,2639,2621,501,1759,Jodhpur_Care_Center,PHC,4,23,162,Yes,36.11,161.51,Average,No,35,High,Yes,Yes,3397
V00041,Village_8172,Bhagalpur,Bihar,23.186223,84.209744,4135,2083,2052,464,1260,Bhagalpur_Medical_Center,CHC,2,13,122,No,57.75,260.33,Poor,Yes,10,High,Yes,Yes,1535
V00042,Village_5557,Gwalior,Madhya Pradesh,24.243063,76.611485,7447,3871,3576,599,2371,Gwalior_Care_Center,CHC,23,54,175,No,19.94,46.14,Good,No,100,Low,No,No,3380
V00043,Village_8451,Jaipur,Rajasthan,24.839915,75.256932,4385,2159,2226,318,1512,Jaipur_Health_Center,District Hospital,1,61,216,No,4.2,14.93,Poor,No,100,Low,Yes,No,4599
V00044,Village_8178,Kanpur,Uttar Pradesh,26.523547,82.363355,24380,12175,12205,1268,6999,Kanpur_Care_Center,District Hospital,11,41,287,No,1.81,5.84,Good,Yes,100,Low,No,No,1361
V00045,Village_9337,Jabalpur,Madhya Pradesh,20.486227,84.640099,24614,12083,12531,2668,8532,Jabalpur_Care_Center,CHC,36,20,201,Yes,12.25,46.53,Poor,Yes,100,Low,No,No,3499
V00046,Village_1042,Muzaffarpur,Bihar,26.39567,85.913627,10768,5481,5287,1169,2999,Muzaffarpur_Medical_Center,CHC,10,59,280,No,29.58,88.66,Poor,No,72,Medium,No,No,2056
V00047,Village_4826,Udaipur,Rajasthan,18.897405,86.567067,14960,7206,7754,1527,4486,Udaipur_Health_Center,CHC,10,65,23,No,8.45,41.37,Average,Yes,92,Low,No,No,225
V00048,Village_3529,Prayagraj,Uttar Pradesh,23.557135,75.756324,3951,1970,1981,465,938,Prayagraj_Medical_Center,CHC,6,44,278,Yes,23.42,69.09,Poor,No,79,Low,No,No,2454
V00049,Village_8110,Lucknow,Uttar Pradesh,19.310128,80.498661,4725,2411,2314,469,931,Lucknow_Care_Center,District Hospital,20,5,28,No,20.14,43.67,Average,No,90,Low,No,No,4736
V00050,Village_3868,Varanasi,Uttar Pradesh,26.110885,82.841774,4087,2061,2026,313,1210,Varanasi_Health_Center,District Hospital,10,31,241,No,38.64,130.55,Poor,Yes,50,Medium,No,No,1394
V00051,Village_6661,Aurangabad,Maharashtra,18.197456,85.280601,20753,10209,10544,2435,6170,Aurangabad_Health_Center,CHC,13,51,252,No,7.29,22.92,Average,No,100,Low,No,No,3342
V00052,Village_1803,Patna,Bihar,26.130633,82.34145,21370,10894,10476,2314,7126,Patna_Care_Center,District Hospital,23,30,102,Yes,37.63,151.77,Poor,Yes,52,Medium,No,No,2630
V00053,Village_6977,Bhopal,Madhya Pradesh,26.706457,76.722263,5806,2807,2999,410,1782,Bhopal_Care_Center,PHC,9,48,276,No,30.61,86.25,Good,No,70,Medium,No,No,2874
V00054,Village_2233,Aurangabad,Maharashtra,21.317271,83.984186,6112,3118,2994,402,1802,Aurangabad_Medical_Center,CHC,36,48,51,No,47.65,97.29,Poor,Yes,66,Medium,No,No,2247
V00055,Village_7086,Udaipur,Rajasthan,19.050083,72.725549,5050,2560,2490,419,1440,Udaipur_Medical_Center,CHC,40,30,37,No,38.49,130.59,Poor,No,70,Medium,No,No,404
V00056,Village_2902,Bhagalpur,Bihar,18.294447,77.928479,4684,2292,2392,410,1152,Bhagalpur_Health_Center,District Hospital,35,55,84,No,53.24,211.08,Average,No,33,High,No,Yes,3732
V00057,Village_6942,Indore,Madhya Pradesh,23.77534,81.554335,4755,2468,2287,360,1584,Indore_Medical_Center,CHC,4,52,146,Yes,12.2,28.87,Average,Yes,91,Low,Yes,No,274
V00058,Village_4990,Nagpur,Maharashtra,25.725655,74.315008,5626,2877,2749,362,1806,Nagpur_Medical_Center,PHC,38,29,124,No,20.39,49.81,Poor,Yes,100,Low,No,No,1164
V00059,Village_3858,Kota,Rajasthan,22.286214,84.448273,5102,2583,2519,264,931,Kota_Care_Center,District Hospital,21,4,94,Yes,16.66,39.66,Average,Yes,99,Low,No,No,4304
V00060,Village_8405,Jaipur,Rajasthan,22.41242,86.555213,18009,8803,9206,1675,5468,Jaipur_Medical_Center,District Hospital,20,60,20,Yes,4.59,15.78,Average,No,100,Low,No,No,702
V00061,Village_3430,Nagpur,Maharashtra,21.870629,86.209456,3652,1771,1881,342,1020,Nagpur_Medical_Center,CHC,25,69,155,Yes,27.77,105.98,Good,Yes,78,Low,No,No,3489
V00062,Village_7532,Bhagalpur,Bihar,25.305924,80.901932,15131,7704,7427,1087,3527,Bhagalpur_Health_Center,CHC,10,62,39,No,6.38,14.39,Average,Yes,100,Low,No,No,4904
V00063,Village_3002,Kota,Rajasthan,25.625474,77.601824,14961,7392,7569,1444,4601,Kota_Medical_Center,PHC,19,41,185,Yes,7.11,25.04,Good,No,100,Low,No,No,4656
V00064,Village_5564,Patna,Bihar,18.054952,85.917803,20312,9933,10379,1625,5593,Patna_Medical_Center,District Hospital,36,5,141,No,2.71,7.64,Average,No,100,Low,No,No,4739
V00065,Village_3324,Bhopal,Madhya Pradesh,19.400219,84.070974,22247,11543,10704,1255,6010,Bhopal_Health_Center,CHC,30,45,85,Yes,22.83,95.08,Poor,Yes,87,Low,No,No,507
V00066,Village_8259,Nagpur,Maharashtra,18.408756,78.324214,23190,11524,11666,2144,5807,Nagpur_Care_Center,District Hospital,8,46,225,No,7.54,30.42,Poor,No,100,Low,No,No,548
V00067,Village_5938,Pune,Maharashtra,21.573641,83.872661,8421,4300,4121,871,1930,Pune_Care_Center,PHC,32,57,94,Yes,8.62,31.01,Good,No,100,Low,No,No,3673
V00068,Village_2275,Aurangabad,Maharashtra,18.793169,85.51175,11758,5914,5844,1059,3534,Aurangabad_Health_Center,CHC,8,53,15,No,58.01,145.93,Poor,No,14,High,No,Yes,2093
V00069,Village_9584,Gwalior,Madhya Pradesh,20.12642,74.343107,4077,2021,2056,292,969,Gwalior_Health_Center,PHC,5,67,63,Yes,32.31,83.42,Average,No,54,Medium,No,No,1716
V00070,Village_2234,Varanasi,Uttar Pradesh,23.322778,77.631076,7304,3783,3521,686,1890,Varanasi_Medical_Center,District Hospital,29,43,166,No,9.91,21.85,Average,No,100,Low,No,No,707
V00071,Village_8404,Bhagalpur,Bihar,26.18145,81.146507,2732,1317,1415,295,527,Bhagalpur_Care_Center,District Hospital,39,66,201,No,28.3,103.66,Poor,Yes,94,Low,No,No,1642
V00072,Village_9214,Bhagalpur,Bihar,21.355668,76.526297,6443,3339,3104,525,2048,Bhagalpur_Health_Center,District Hospital,6,66,93,No,3.31,13.65,Average,Yes,100,Low,No,No,3448
V00073,Village_6482,Patna,Bihar,19.160565,83.341344,3659,1804,1855,325,899,Patna_Health_Center,District Hospital,39,21,175,No,5.81,23.19,Average,No,100,Low,No,No,794
V00074,Village_6381,Bhagalpur,Bihar,26.529014,79.780335,5687,2882,2805,614,1737,Bhagalpur_Medical_Center,District Hospital,6,56,265,No,22.35,69.01,Good,Yes,79,Low,No,No,1955
V00075,Village_2264,Varanasi,Uttar Pradesh,18.393232,77.828791,11192,5750,5442,638,3481,Varanasi_Medical_Center,District Hospital,3,45,72,No,36.24,89.25,Good,Yes,48,Medium,Yes,No,2045
V00076,Village_8355,Jabalpur,Madhya Pradesh,25.352021,84.820148,9167,4595,4572,656,2910,Jabalpur_Health_Center,PHC,24,58,241,Yes,46.4,201.11,Poor,No,39,High,No,Yes,1233
V00077,Village_8873,Patna,Bihar,25.350329,86.154076,13663,6861,6802,781,4424,Patna_Care_Center,CHC,6,22,144,Yes,27.51,97.39,Average,Yes,61,Medium,No,No,318
V00078,Village_7495,Bhopal,Madhya Pradesh,24.82957,79.505762,17949,8884,9065,1382,3479,Bhopal_Care_Center,PHC,21,14,176,Yes,47.69,115.07,Average,No,53,Medium,No,No,143
V00079,Village_5193,Nashik,Maharashtra,18.997721,86.48235,8566,4397,4169,757,2600,Nashik_Medical_Center,CHC,8,38,126,Yes,18.77,40.23,Average,No,85,Low,No,No,4988
V00080,Village_9443,Jaipur,Rajasthan,21.514084,79.522161,20343,9961,10382,1221,5146,Jaipur_Medical_Center,CHC,16,55,100,Yes,40.2,90.73,Average,Yes,58,Medium,No,No,3269
V00081,Village_1266,Muzaffarpur,Bihar,26.827373,79.656499,13201,6752,6449,978,4021,Muzaffarpur_Medical_Center,PHC,38,44,73,No,3.62,13.17,Poor,Yes,100,Low,No,No,1593
V00082,Village_8498,Lucknow,Uttar Pradesh,20.574998,85.794216,2711,1333,1378,143,579,Lucknow_Care_Center,CHC,20,67,208,Yes,59.36,215.42,Average,Yes,17,High,No,Yes,491
V00083,Village_3039,Muzaffarpur,Bihar,18.710343,81.639253,13559,6745,6814,1057,3454,Muzaffarpur_Health_Center,CHC,12,65,259,No,22.67,99.56,Average,Yes,77,Low,No,No,1578
V00084,Village_6262,Kota,Rajasthan,23.755224,84.663645,4861,2348,2513,467,1128,Kota_Medical_Center,District Hospital,28,23,232,No,21.74,46.24,Average,No,100,Low,No,No,569
V00085,Village_6952,Aurangabad,Maharashtra,26.545204,72.518165,18312,9376,8936,1786,6262,Aurangabad_Care_Center,District Hospital,29,6,69,No,4.97,21.55,Average,No,100,Low,No,No,1356
V00086,Village_7095,Jabalpur,Madhya Pradesh,20.35599,76.164636,16047,8192,7855,1447,4332,Jabalpur_Health_Center,CHC,18,33,63,Yes,2.53,6.47,Poor,No,100,Low,No,No,3755
V00087,Village_9047,Kanpur,Uttar Pradesh,24.406282,86.837191,8059,3907,4152,884,2069,Kanpur_Medical_Center,CHC,6,42,182,Yes,42.86,156.44,Average,No,33,High,No,Yes,1526
V00088,Village_2988,Gaya,Bihar,20.783616,87.993521,8085,4136,3949,538,2134,Gaya_Health_Center,District Hospital,37,49,244,Yes,48.42,176.97,Poor,Yes,56,Medium,No,No,4021
V00089,Village_7708,Udaipur,Rajasthan,21.893565,86.571396,20338,9822,10516,2401,5881,Udaipur_Health_Center,CHC,34,46,70,Yes,52.8,229.19,Poor,Yes,27,High,No,Yes,553
V00090,Village_5982,Pune,Maharashtra,22.523158,74.698174,6895,3354,3541,795,1505,Pune_Medical_Center,CHC,6,34,105,Yes,38.47,140.51,Good,No,37,High,No,Yes,4856
V00091,Village_6531,Varanasi,Uttar Pradesh,22.346503,84.87501,19968,9617,10351,2205,3869,Varanasi_Medical_Center,District Hospital,17,28,297,No,25.58,100.2,Average,No,81,Low,No,No,3426
V00092,Village_2195,Bhagalpur,Bihar,24.845985,80.239682,24064,11608,12456,1943,6312,Bhagalpur_Care_Center,CHC,39,20,165,Yes,51.83,153.31,Average,No,57,Medium,No,No,969
V00093,Village_8642,Gaya,Bihar,24.868092,79.972249,5514,2705,2809,371,1083,Gaya_Health_Center,CHC,40,55,132,Yes,57.8,272.06,Average,No,20,High,No,Yes,4316
V00094,Village_6055,Gwalior,Madhya Pradesh,22.830217,85.554758,17797,8559,9238,2067,4732,Gwalior_Care_Center,PHC,38,47,29,No,3.98,13.87,Poor,No,100,Low,No,No,3630
V00095,Village_6992,Kanpur,Uttar Pradesh,19.157971,73.546904,14713,7277,7436,1148,4074,Kanpur_Care_Center,CHC,36,38,42,Yes,23.79,79.72,Poor,No,94,Low,No,No,3157
V00096,Village_3363,Muzaffarpur,Bihar,26.382319,77.096481,8022,4043,3979,626,1498,Muzaffarpur_Care_Center,PHC,22,62,270,No,27.96,106.77,Poor,Yes,80,Low,No,No,3319
V00097,Village_6511,Kota,Rajasthan,23.372187,76.248487,18123,9299,8824,1581,5445,Kota_Health_Center,CHC,2,49,174,Yes,40.75,201.29,Poor,No,19,High,Yes,Yes,4838
V00098,Village_1841,Jodhpur,Rajasthan,21.769023,78.607362,20620,10293,10327,1787,6239,Jodhpur_Health_Center,PHC,16,6,298,No,56.94,132.65,Good,No,40,High,No,No,1770
V00099,Village_2020,Gwalior,Madhya Pradesh,24.082817,85.88247,24626,11956,12670,1588,5793,Gwalior_Medical_Center,CHC,34,50,165,No,57.44,194.09,Poor,No,36,High,No,Yes,2265
V00100,Village_4150,Udaipur,Rajasthan,19.096867,82.825956,9577,4703,4874,678,3256,Udaipur_Health_Center,CHC,14,64,167,No,29.31,107.9,Poor,No,66,Medium,No,No,3210
V00101,Village_3399,Jabalpur,Madhya Pradesh,18.983039,83.854256,11017,5306,5711,1287,2131,Jabalpur_Health_Center,District Hospital,17,63,114,Yes,12.92,46.72,Poor,No,98,Low,No,No,2060
V00102,Village_9700,Lucknow,Uttar Pradesh,22.297037,75.191296,8894,4496,4398,477,2225,Lucknow_Medical_Center,CHC,7,19,7,No,57.91,285.71,Good,No,10,High,No,Yes,2453
V00103,Village_1969,Muzaffarpur,Bihar,25.890689,72.148275,4431,2242,2189,293,1354,Muzaffarpur_Care_Center,PHC,27,24,23,No,59.83,190.92,Average,Yes,20,High,No,Yes,4752
V00104,Village_6489,Jaipur,Rajasthan,24.467384,72.225347,10824,5392,5432,1027,2913,Jaipur_Care_Center,District Hospital,30,36,103,No,48.72,145.77,Poor,No,49,Medium,No,No,2861
V00105,Village_3875,Gaya,Bihar,20.347067,75.76834,21519,11066,10453,2427,6898,Gaya_Medical_Center,CHC,6,53,53,Yes,11.9,28.82,Average,Yes,89,Low,No,No,2287
V00106,Village_1187,Muzaffarpur,Bihar,23.748402,87.05017,10070,5096,4974,991,1918,Muzaffarpur_Care_Center,CHC,20,22,212,Yes,41.48,197.83,Poor,No,39,High,No,Yes,3110
V00107,Village_4590,Jodhpur,Rajasthan,22.753558,77.788558,5876,2932,2944,480,2045,Jodhpur_Health_Center,CHC,36,62,280,No,48.32,216.32,Good,Yes,47,Medium,No,No,4721
V00108,Village_9972,Nashik,Maharashtra,22.619231,79.308776,18063,8816,9247,1581,3756,Nashik_Medical_Center,CHC,8,28,255,Yes,6.37,22.49,Good,No,100,Low,No,No,572
V00109,Village_6049,Udaipur,Rajasthan,18.285614,78.541871,2213,1097,1116,237,678,Udaipur_Medical_Center,PHC,3,56,181,No,42.32,153.35,Good,Yes,31,High,Yes,Yes,1209
V00110,Village_7266,Jabalpur,Madhya Pradesh,25.513395,84.098871,16197,8337,7860,1837,3949,Jabalpur_Medical_Center,District Hospital,35,19,183,Yes,8,39.83,Average,Yes,100,Low,No,No,2544
V00111,Village_9715,Gwalior,Madhya Pradesh,18.605618,81.503106,13928,7144,6784,937,3326,Gwalior_Health_Center,PHC,8,6,219,Yes,37.28,179.27,Good,Yes,36,High,No,Yes,3757
V00112,Village_5009,Jaipur,Rajasthan,20.71588,74.292167,2949,1462,1487,195,639,Jaipur_Care_Center,PHC,33,39,124,Yes,49.13,206.08,Average,No,38,High,No,Yes,4370
V00113,Village_5923,Prayagraj,Uttar Pradesh,24.266776,78.532147,10516,5073,5443,1224,3465,Prayagraj_Care_Center,District Hospital,28,65,29,No,58.37,281.62,Poor,No,10,High,No,Yes,2556
V00114,Village_9813,Indore,Madhya Pradesh,20.972367,73.265127,17016,8331,8685,1119,5543,Indore_Care_Center,CHC,4,54,218,Yes,33.88,81.39,Good,No,60,Medium,Yes,No,3784
V00115,Village_9775,Patna,Bihar,26.434438,87.393241,7741,3731,4010,591,2189,Patna_Care_Center,PHC,13,29,250,Yes,13.32,62.89,Average,Yes,96,Low,No,No,1061
V00116,Village_4350,Indore,Madhya Pradesh,25.22535,83.558617,14496,7488,7008,1285,4520,Indore_Health_Center,CHC,35,47,162,Yes,16.43,58.14,Average,No,100,Low,No,No,2723
V00117,Village_6126,Kanpur,Uttar Pradesh,22.955783,87.095433,15063,7257,7806,1664,4609,Kanpur_Care_Center,CHC,36,55,156,No,9.99,29.87,Average,Yes,100,Low,No,No,2865
V00118,Village_9037,Bhagalpur,Bihar,26.506693,82.691449,16600,8079,8521,1753,3465,Bhagalpur_Medical_Center,District Hospital,32,25,282,Yes,59.43,289.53,Poor,Yes,14,High,No,Yes,152
V00119,Village_4791,Indore,Madhya Pradesh,22.764759,76.395852,3727,1894,1833,188,991,Indore_Health_Center,PHC,40,63,254,Yes,1.93,6.94,Average,Yes,100,Low,No,No,2448
V00120,Village_3937,Aurangabad,Maharashtra,26.912097,75.613716,5006,2586,2420,434,1106,Aurangabad_Medical_Center,District Hospital,17,47,141,Yes,47.9,107.16,Average,No,49,Medium,No,No,760
V00121,Village_7640,Nashik,Maharashtra,19.902754,85.88987,13927,6895,7032,1160,4014,Nashik_Medical_Center,PHC,6,65,227,Yes,39.05,116.91,Good,Yes,49,Medium,No,No,4743
V00122,Village_1762,Jabalpur,Madhya Pradesh,20.693492,81.023331,3936,1997,1939,274,1071,Jabalpur_Medical_Center,PHC,12,42,13,Yes,57.73,217.13,Poor,No,10,High,No,Yes,4742
V00123,Village_7288,Jabalpur,Madhya Pradesh,18.266631,76.373232,6085,3113,2972,597,1176,Jabalpur_Medical_Center,CHC,4,14,228,No,14.7,32.75,Poor,No,92,Low,Yes,No,3790
V00124,Village_6829,Indore,Madhya Pradesh,24.656898,77.066852,19621,10156,9465,1574,5798,Indore_Medical_Center,CHC,6,39,131,Yes,43.07,96.74,Good,No,45,Medium,No,No,972
V00125,Village_6050,Nashik,Maharashtra,25.773464,72.19745,16073,7946,8127,1107,3255,Nashik_Care_Center,CHC,29,67,213,No,7.09,16.09,Poor,Yes,100,Low,No,No,3489
V00126,Village_4977,Bhopal,Madhya Pradesh,25.044,77.777999,20241,10137,10104,1983,4226,Bhopal_Health_Center,CHC,18,65,79,No,4.73,15.63,Average,No,100,Low,No,No,2120
V00127,Village_8501,Indore,Madhya Pradesh,20.885986,87.156463,5005,2429,2576,252,1237,Indore_Medical_Center,CHC,22,58,176,No,26.41,118.07,Poor,Yes,74,Medium,No,No,1745
V00128,Village_3910,Jabalpur,Madhya Pradesh,23.330043,80.730065,14549,7547,7002,1024,4337,Jabalpur_Health_Center,District Hospital,16,43,197,Yes,17.54,76.43,Average,Yes,89,Low,No,No,4606
V00129,Village_4434,Aurangabad,Maharashtra,18.665686,87.85121,15867,8122,7745,1716,3042,Aurangabad_Health_Center,District Hospital,32,19,160,No,15.28,60.75,Poor,No,100,Low,No,No,4025
V00130,Village_9755,Udaipur,Rajasthan,23.068983,82.320499,18100,9356,8744,2006,4545,Udaipur_Care_Center,CHC,35,12,60,Yes,46.37,184.22,Average,Yes,45,Medium,No,No,3373
V00131,Village_2735,Bhagalpur,Bihar,26.979325,79.724337,1845,892,953,120,566,Bhagalpur_Medical_Center,District Hospital,37,30,233,No,23.07,78.19,Poor,Yes,100,Low,No,No,2520
V00132,Village_2901,Bhopal,Madhya Pradesh,18.402147,83.372464,6142,3033,3109,454,1924,Bhopal_Medical_Center,CHC,23,62,54,No,26.85,109.82,Average,Yes,71,Medium,No,No,285
V00133,Village_3692,Patna,Bihar,22.046175,78.872845,9492,4752,4740,841,2242,Patna_Health_Center,CHC,15,53,99,Yes,12,47.66,Average,Yes,96,Low,No,No,136
V00134,Village_5560,Varanasi,Uttar Pradesh,23.501776,81.392075,24560,12583,11977,1335,4845,Varanasi_Medical_Center,PHC,24,43,105,No,28,78.04,Average,No,81,Low,No,No,2950
V00135,Village_3826,Bhagalpur,Bihar,21.764152,74.205877,23572,11980,11592,1669,6705,Bhagalpur_Care_Center,District Hospital,9,42,65,No,15.08,35.45,Average,Yes,88,Low,No,No,3243
